0	﻿مقام	﻿مقام	﻿مقام	﻿مقام	O	_
6	گزارش	گزارش|گزارش|گزار	گزارش	گزارش|گزارش|گزار + ش	N1|N9|V+O	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|فعل مضارع ساده+سوم شخص مفرد	
7	داد	داد|داد	داد	داد|داد	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
8	:	:	:	:	Si	علامت	
9	کانال	کانال	کانال	کانال	N1	اسم	
10	مالی	مالی|مال|مال	مالی	مالی|مال + ی|مال + ی	A0|V+O|N1+O	صفت|فعل مضارع ساده+دوم شخص مفرد|اسم + ی	
11	یا	یا|یا	یا	یا|یا	C0|Intj	حرف ربط|صوت	
12	سازوکار	سازوکار	سازوکار	سازوکار	N1	اسم	
13	اتحادیه	اتحادیه|اتحاد	اتحادیه	اتحادیه|اتحاد + یه	N1|N1+O	اسم|اسم + یه	
14	اروپا	اروپا	اروپا	اروپا	N2	اسم خاص مکان	
15	برای	برای|برا|بر	برای	برای|برا + ی|بر + ا + ی	Pr|A0+O|O+O+O	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی	
16	تسهیل	تسهیل	تسهیل	تسهیل	N1	اسم	
17	پرداخت	پرداخت|پرداخت	پرداخت	پرداخت|پرداخت	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
18	پول	پول	پول	پول	N1	اسم	
19	اقلام	قلم	اقلام	قلم	O	اسم مفرد جمع مکسر	
20	صادراتی	صادراتی|صادرات|صادر	صادرات	صادراتی|صادرات + ی|صادر + ات + ی	A0|N1+O|N1+Pl+O	صفت|اسم + ی|اسم + علامت جمع + ی	
21	ایران	ایران	ایران	ایران	N2	اسم خاص مکان	
22	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
23	اروپا	اروپا	اروپا	اروپا	N2	اسم خاص مکان	
24	با	با	با	با	Pr	حرف اضافه	
25	هدف	هدف	هدف	هدف	N1	اسم	
26	عبور	عبور	عبور	عبور	N1	اسم	
27	از	از	از	از	Pr	حرف اضافه	
28	تحریم‌های	تحریم	تحریم	تحریم + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
29	آمریکا	امریکا	آمریکا	امریکا	N2	اسم خاص مکان	
30	،	،	،	،	Si	علامت	
31	تا	تا|تا|تا	تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات	
32	سیزدهم	سیزده|سیزده	سیزدهم	سیزده + م|سیزده + م	O+O|O+V	عدد حرفی + ضمیر ملکی اول شخص مفرد|عدد حرفی + فعل اول شخص مفرد	
33	آبان	اب	آبان	اب + ان	N1+O	اسم + ان	
34	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
35	شکل	شکل	شکل	شکل	N1	اسم	
36	نمادین	نمادین|نماد	نمادین	نمادین|نماد + ین	A0|N1+O	صفت|اسم + ین	
37	آماده	آماده|آماد	آماده	آماده|آماد + ه	A0|N1+O	صفت|اسم + ه	
38	می‌شود	شو	شد	می + شو + د	V+O	فعل حال اخباری+سوم شخص مفرد	
39	اما	اما	اما	اما	C0	حرف ربط	
40	عملیاتی	عملیاتی|عملیات|عملی	عملیاتی	عملیاتی|عملیات + ی|عملی + ات + ی	A0|N1+O|A0+Pl+O	صفت|اسم + ی|صفت + علامت جمع + ی	
41	شدن	شد	شدن	شد + ن	V3+O	فعل اسنادی + ن	
42	آن	ان	آن	ان	Ab	اختصارات	
43	تا	تا|تا|تا	تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات	
44	اوایل	اوایل	اوایل	اوایل	Ad	قید	
45	زمستان	زمستان|زم	زمستان	زمستان|زم + ستان	N1|N1+O	اسم|اسم + ستان	
46	سال‌جاری	سال جاری	سال‌جاری	سال جاری	O	_
47	طول	طول	طول	طول	N1	اسم	
48	می‌کشد	کش	کشید	می + کش + د	V+O	فعل حال اخباری+سوم شخص مفرد	
49	.	.	.	.	Si	علامت	

0	وزیر	وزیر	وزیر	وزیر	N1	اسم	
1	امور	امر	امور	امر	O	اسم مفرد جمع مکسر	
2	اقتصادی	اقتصادی|اقتصاد	اقتصاد	اقتصادی|اقتصاد + ی	A0|N1+O	صفت|اسم + ی	
3	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
4	دارایی	دارایی|دارا|دار	دارایی	دارایی|دارا + یی|دار + ا + یی	N1|A0+O|O+O+O	اسم|صفت + یی|ریشه مضارع + ا + یی	
5	با	با	با	با	Pr	حرف اضافه	
6	بیان	بیان	بیان	بیان	N1	اسم	
7	اینکه	اینکه	اینکه	اینکه	Ad	قید	
8	تحریمی	تحریمی|تحریم	تحریم	تحریمی|تحریم + ی	A0|N1+O	صفت|اسم + ی	
9	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
10	می‌خواهند	خواه|خواه	خواست	می + خواه + ند|می + خواه + ند	V+O|O+V5+V	فعل حال اخباری+سوم شخص جمع|می + فعل کمکی + فعل سوم شخص جمع	
11	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
12	۱۳	۱۳	۱۳	۱۳	Nu	عدد رقمی	
13	آبان	اب	آبان	اب + ان	N1+O	اسم + ان	
14	اعلام	اعلام|اعلام	اعلام	اعلام|اعلام	N1|N1	اسم|اسم	
15	کنند	کن|کن	کرد	کن + ند|کن + ند	V+O|V+O	فعل مضارع ساده+سوم شخص جمع|فعل مضارع ساده+سوم شخص جمع	
16	قبلا	قبلاً	قبلا	قبلاً	Ad	قید	
17	اجرایی	اجرایی|اجرا	اجرایی	اجرایی|اجرا + یی	A0|N1+O	صفت|اسم + یی	
18	کرده‌اند	کرده|کرد|کرد	کرد	کرده + اند|کرد + ه + اند|کرد + ه + اند	N1+V|V+O|N1+O+V	اسم + فعل سوم شخص جمع|فعل ماضی نقلی+سوم شخص جمع|اسم + ه + فعل سوم شخص جمع	
19	،	،	،	،	Si	علامت	
20	گفت	گفت|گفت	گفت	گفت|گفت	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
21	:	:	:	:	Si	علامت	
22	اولین	اولین|اول	اولین	اولین|اول + ین	A0|A0+O	صفت|صفت + ین	
23	برنامه	برنامه	برنامه	برنامه	N1	اسم	
24	مدنظر	مدنظر	مدنظر	مدنظر	N1	اسم	
25	،	،	،	،	Si	علامت	
26	تامین	تام	تامین	تام + ین	A0+O	صفت + ین	
27	مالی	مالی|مال|مال	مالی	مالی|مال + ی|مال + ی	A0|V+O|N1+O	صفت|فعل مضارع ساده+دوم شخص مفرد|اسم + ی	
28	اقتصادی	اقتصادی|اقتصاد	اقتصاد	اقتصادی|اقتصاد + ی	A0|N1+O	صفت|اسم + ی	
29	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
30	دومین	دوم	دومین	دوم + ین	A0+O	صفت + ین	
31	کار	کار|کار	کار	کار|کار	N1|V	اسم|فعل امر مثبت	
32	بهبود	بهبود	بهبود	بهبود	N1	اسم	
33	فضای	فضا	فضا	فضا + ی	N1+O	اسم + ی	
34	کسب	کسب	کسب	کسب	N1	اسم	
35	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
36	کار	کار|کار	کار	کار|کار	N1|V	اسم|فعل امر مثبت	
37	اقتصادی	اقتصادی|اقتصاد	اقتصاد	اقتصادی|اقتصاد + ی	A0|N1+O	صفت|اسم + ی	
38	از	از	از	از	Pr	حرف اضافه	
39	طریق	طریق|طریق	طریق	طریق|طریق	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
40	تسهیل	تسهیل	تسهیل	تسهیل	N1	اسم	
41	شرایط	شرط	شرایط	شرط	O	اسم مفرد جمع مکسر	
42	گمرکی	گمرکی|گمرک	گمرک	گمرکی|گمرک + ی	A0|N1+O	صفت|اسم + ی	
43	است	است|اس		است|اس + ت	V+O|N1+O	فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد	
44	.	.	.	.	Si	علامت	

0	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
1	گزارش	گزارش|گزارش|گزار	گزارش	گزارش|گزارش|گزار + ش	N1|N9|V+O	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|فعل مضارع ساده+سوم شخص مفرد	
2	فارس	فارس	فارس	فارس	N1	اسم	
3	،	،	،	،	Si	علامت	
4	فرهاد	فرهاد	فرهاد	فرهاد	N3	اسم خاص اشخاص	
5	دژپسند	دژپسند	دژپسند	دژپسند	O	_
6	وزیر	وزیر	وزیر	وزیر	N1	اسم	
7	امور	امر	امور	امر	O	اسم مفرد جمع مکسر	
8	اقتصادی	اقتصادی|اقتصاد	اقتصاد	اقتصادی|اقتصاد + ی	A0|N1+O	صفت|اسم + ی	
9	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
10	دارایی	دارایی|دارا|دار	دارایی	دارایی|دارا + یی|دار + ا + یی	N1|A0+O|O+O+O	اسم|صفت + یی|ریشه مضارع + ا + یی	
11	با	با	با	با	Pr	حرف اضافه	
12	بیان	بیان	بیان	بیان	N1	اسم	
13	اینکه	اینکه	اینکه	اینکه	Ad	قید	
14	تحریمی	تحریمی|تحریم	تحریم	تحریمی|تحریم + ی	A0|N1+O	صفت|اسم + ی	
15	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
16	می‌خواهند	خواه|خواه	خواست	می + خواه + ند|می + خواه + ند	V+O|O+V5+V	فعل حال اخباری+سوم شخص جمع|می + فعل کمکی + فعل سوم شخص جمع	
17	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
18	۱۳	۱۳	۱۳	۱۳	Nu	عدد رقمی	
19	آبان	اب	آبان	اب + ان	N1+O	اسم + ان	
20	اعلام	اعلام|اعلام	اعلام	اعلام|اعلام	N1|N1	اسم|اسم	
21	کنند	کن|کن	کرد	کن + ند|کن + ند	V+O|V+O	فعل مضارع ساده+سوم شخص جمع|فعل مضارع ساده+سوم شخص جمع	
22	،	،	،	،	Si	علامت	
23	قبلا	قبلاً	قبلا	قبلاً	Ad	قید	
24	اجرایی	اجرایی|اجرا	اجرایی	اجرایی|اجرا + یی	A0|N1+O	صفت|اسم + یی	
25	کرده‌اند	کرده|کرد|کرد	کرد	کرده + اند|کرد + ه + اند|کرد + ه + اند	N1+V|V+O|N1+O+V	اسم + فعل سوم شخص جمع|فعل ماضی نقلی+سوم شخص جمع|اسم + ه + فعل سوم شخص جمع	
26	،	،	،	،	Si	علامت	
27	گفت	گفت|گفت	گفت	گفت|گفت	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
28	:	:	:	:	Si	علامت	
29	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
30	وزارت	وزارت	وزارت	وزارت	N1	اسم	
31	امور	امر	امور	امر	O	اسم مفرد جمع مکسر	
32	اقتصادی	اقتصادی|اقتصاد	اقتصاد	اقتصادی|اقتصاد + ی	A0|N1+O	صفت|اسم + ی	
33	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
34	دارایی	دارایی|دارا|دار	دارایی	دارایی|دارا + یی|دار + ا + یی	N1|A0+O|O+O+O	اسم|صفت + یی|ریشه مضارع + ا + یی	
35	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
36	حال	حال	حال	حال	N1	اسم	
37	رصد	رصد	رصد	رصد	N1	اسم	
38	برنامه‌های	برنامه	برنامه	برنامه + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
39	دشمن	دشمن	دشمن	دشمن	A0	صفت	
40	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
41	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
42	حال	حال	حال	حال	N1	اسم	
43	آماده‌سازی	آماده ساز	آماده‌ساز	آماده ساز	O	_
44	بسته‌هایی	بسته|بست|بست|سته|بست	بسته	بسته + ها + یی|بست + ه + ها + یی|بست + ه + ها + یی|ب + سته + ها + یی|بست + ه + ها + یی	A0+Pl+O|N1+O+Pl+O|O+O+Pl+O|O+N1+Pl+O|N2+O+Pl+O	صفت + علامت جمع + یی|اسم + ه + علامت جمع + یی|ریشه ماضی + ه + علامت جمع + یی|ب + اسم + علامت جمع + یی|اسم خاص مکان + ه + علامت جمع + یی	
45	برای	برای|برا|بر	برای	برای|برا + ی|بر + ا + ی	Pr|A0+O|O+O+O	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی	
46	مواجهه	مواجهه|مواجه	مواجهه	مواجهه|مواجه + ه	N1|A0+O	اسم|صفت + ه	
47	با	با	با	با	Pr	حرف اضافه	
48	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
49	دشمنی‌ها	دشمنی|دشمن	دشمنی‌ها	دشمنی + ها|دشمن + ی + ها	N1+Pl|A0+O+Pl	اسم + علامت جمع|صفت + ی + علامت جمع	
50	هستیم	هستی|هستی|هست|هست|هست|هست|هست		هستی + م|هستی + م|هست + یم|هست + ی + م|هست + یم|هست + ی + م|هست + ی + م	N1+O|N1+V|V+O|V+O|N1+V|N1+O+O|N1+O+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|فعل مضارع ساده+اول شخص جمع|فعل مضارع ساده+دوم شخص مفرد|اسم + فعل اول شخص جمع|اسم + ی + ضمیر ملکی اول شخص مفرد|اسم + ی + فعل اول شخص مفرد	
51	.	.	.	.	Si	علامت	

0	دژپسند	دژپسند	دژپسند	دژپسند	O	_
1	درباره	درباره|درباره|دربار	درباره	درباره|درباره|دربار + ه	N1|Pr1|N1+O	اسم|حرف اضافه گروهی|اسم + ه	
2	برنامه‌های	برنامه	برنامه	برنامه + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
3	اصلی	اصلی|اصل	اصل	اصلی|اصل + ی	A0|A0+O	صفت|صفت + ی	
4	خود	خود|خود	خود	خود|خود	O|N1	ضمیر مشترک/متقابل|اسم	
5	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
6	وزارت	وزارت	وزارت	وزارت	N1	اسم	
7	امور	امر	امور	امر	O	اسم مفرد جمع مکسر	
8	اقتصادی	اقتصادی|اقتصاد	اقتصاد	اقتصادی|اقتصاد + ی	A0|N1+O	صفت|اسم + ی	
9	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
10	دارایی	دارایی|دارا|دار	دارایی	دارایی|دارا + یی|دار + ا + یی	N1|A0+O|O+O+O	اسم|صفت + یی|ریشه مضارع + ا + یی	
11	گفت	گفت|گفت	گفت	گفت|گفت	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
12	:	:	:	:	Si	علامت	
13	طبیعی	طبیعی	طبیعی	طبیعی	A0	صفت	
14	است	است|اس		است|اس + ت	V+O|N1+O	فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد	
15	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
16	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
17	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
18	شرایط	شرط	شرایط	شرط	O	اسم مفرد جمع مکسر	
19	همه	همه|همه	همه	همه|همه	N1|A2	اسم|صفت مبهم	
20	انتظار	انتظار	انتظار	انتظار	N1	اسم	
21	دارند	دار|دار|دار	داشت	دار + ند|دار + ند|دار + ند	V+O|N1+V|V5+V	فعل مضارع ساده+سوم شخص جمع|اسم + فعل سوم شخص جمع|فعل کمکی + فعل سوم شخص جمع	
22	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
23	با	با	با	با	Pr	حرف اضافه	
24	توجه	توجه	توجه	توجه	N1	اسم	
25	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
26	تحریم‌های	تحریم	تحریم	تحریم + ها + ی	N1+Pl+O	اسم + علامت جمع + ی	
27	دشمن	دشمن	دشمن	دشمن	A0	صفت	
28	،	،	،	،	Si	علامت	
29	ببینند	بین|بین	ببینند	ب + بین + ند|ب + بین + ند	V+O|O+A0+V	فعل حال التزامی+سوم شخص جمع|ب + صفت + فعل سوم شخص جمع	
30	ما	ما	ما	ما	N5	ضمیر فاعلی	
31	چه	چه|چه|چه	چه	چه|چه|چه	NA|C0|A0	ضمیر پرسشی|حرف ربط|صفت	
32	برنامه‌ای	برنامه‌ای|برنامه	برنامه	برنامه‌ای|برنامه + ای	A0|N1+O	صفت|اسم + ای	
33	را	را	را	را	Po	حرف اضافه پسین	
34	تدارک	تدارک	تدارک	تدارک	N1	اسم	
35	دیدیم	دید|دید|دید	دید	دید + یم|دید + ی + م|دید + یم	V+O|V+O|N1+V	فعل ماضی ساده+اول شخص جمع|فعل ماضی ساده+دوم شخص مفرد|اسم + فعل اول شخص جمع	
36	.	.	.	.	Si	علامت	

0	وی	وی|وی	وی	وی|وی	N5|Ab	ضمیر فاعلی|اختصارات	
1	افزود	افزود	افزود	افزود	V+O	فعل ماضی ساده+سوم شخص مفرد	
2	:	:	:	:	Si	علامت	
3	اولین	اولین|اول	اولین	اولین|اول + ین	A0|A0+O	صفت|صفت + ین	
4	برنامه	برنامه	برنامه	برنامه	N1	اسم	
5	مدنظر	مدنظر	مدنظر	مدنظر	N1	اسم	
6	،	،	،	،	Si	علامت	
7	تامین	تام	تامین	تام + ین	A0+O	صفت + ین	
8	مالی	مالی|مال|مال	مالی	مالی|مال + ی|مال + ی	A0|V+O|N1+O	صفت|فعل مضارع ساده+دوم شخص مفرد|اسم + ی	
